t-SNE 1,t-SNE 2,Pred,True
-240.77041625976562,216.9300079345703,Aspergillus flavus,Aspergillus flavus
-148.6306610107422,219.96522521972656,Aspergillus flavus,Aspergillus flavus
-355.46563720703125,83.61133575439453,Aspergillus flavus,Aspergillus flavus
-151.1956024169922,20.78346061706543,Aspergillus flavus,Aspergillus flavus
-215.80670166015625,114.9236831665039,Aspergillus flavus,Aspergillus flavus
-151.1956024169922,20.78346061706543,Aspergillus flavus,Aspergillus flavus
-215.80670166015625,114.9236831665039,Aspergillus flavus,Aspergillus flavus
-61.80897521972656,56.62406921386719,Aspergillus flavus,Aspergillus flavus
-348.7863464355469,-25.79708480834961,Aspergillus flavus,Aspergillus flavus
-215.80670166015625,114.9236831665039,Aspergillus flavus,Aspergillus flavus
-320.8883056640625,178.4022216796875,Aspergillus flavus,Aspergillus flavus
-255.95944213867188,10.054983139038086,Aspergillus flavus,Aspergillus flavus
-106.14319610595703,137.40771484375,Aspergillus flavus,Aspergillus flavus
-355.46563720703125,83.61133575439453,Aspergillus flavus,Aspergillus flavus
-275.507080078125,-89.40542602539062,Aspergillus flavus,Aspergillus flavus
-255.95944213867188,10.054983139038086,Aspergillus flavus,Aspergillus flavus
-215.80670166015625,114.9236831665039,Aspergillus flavus,Aspergillus flavus
-255.95944213867188,10.054983139038086,Aspergillus flavus,Aspergillus flavus
-215.80670166015625,114.9236831665039,Aspergillus flavus,Aspergillus flavus
-187.66497802734375,-65.78475189208984,Aspergillus flavus,Aspergillus flavus
89.6523666381836,220.55345153808594,Aspergillus fumigatus,Aspergillus fumigatus
163.7969207763672,50.804473876953125,Aspergillus fumigatus,Aspergillus fumigatus
213.86065673828125,116.46251678466797,Aspergillus fumigatus,Aspergillus fumigatus
335.0643005371094,128.98025512695312,Aspergillus fumigatus,Aspergillus fumigatus
128.85406494140625,138.43844604492188,Aspergillus fumigatus,Aspergillus fumigatus
335.0643005371094,128.98025512695312,Aspergillus fumigatus,Aspergillus fumigatus
204.40574645996094,208.40843200683594,Aspergillus fumigatus,Aspergillus fumigatus
335.0643005371094,128.98025512695312,Aspergillus fumigatus,Aspergillus fumigatus
204.40574645996094,208.40843200683594,Aspergillus fumigatus,Aspergillus fumigatus
335.0643005371094,128.98025512695312,Aspergillus fumigatus,Aspergillus fumigatus
128.85406494140625,138.43844604492188,Aspergillus fumigatus,Aspergillus fumigatus
144.1705322265625,279.951904296875,Aspergillus fumigatus,Aspergillus fumigatus
227.91668701171875,310.10870361328125,Aspergillus fumigatus,Aspergillus fumigatus
335.0643005371094,128.98025512695312,Aspergillus fumigatus,Aspergillus fumigatus
204.40574645996094,208.40843200683594,Aspergillus fumigatus,Aspergillus fumigatus
335.0643005371094,128.98025512695312,Aspergillus fumigatus,Aspergillus fumigatus
345.2448425292969,-7.866261005401611,Aspergillus fumigatus,Aspergillus fumigatus
265.6860656738281,36.017154693603516,Aspergillus fumigatus,Aspergillus fumigatus
293.2964782714844,255.3108673095703,Aspergillus fumigatus,Aspergillus fumigatus
335.0643005371094,128.98025512695312,Aspergillus fumigatus,Aspergillus fumigatus
181.13890075683594,-261.38067626953125,Aspergillus nomiae,Aspergillus nomiae
-31.98048973083496,-96.82506561279297,Aspergillus nomiae,Aspergillus nomiae
-31.03386878967285,-372.8003845214844,Aspergillus nomiae,Aspergillus nomiae
125.95928192138672,-347.0513916015625,Aspergillus nomiae,Aspergillus nomiae
73.35479736328125,-257.86334228515625,Aspergillus nomiae,Aspergillus nomiae
60.20175552368164,-93.62488555908203,Aspergillus nomiae,Aspergillus nomiae
-6.471652984619141,-200.3631134033203,Aspergillus nomiae,Aspergillus nomiae
96.74406433105469,-173.60531616210938,Aspergillus nomiae,Aspergillus nomiae
-102.1276626586914,-166.53594970703125,Aspergillus nomiae,Aspergillus nomiae
97.75923156738281,-432.18743896484375,Aspergillus nomiae,Aspergillus nomiae
-75.95794677734375,-274.2718811035156,Aspergillus nomiae,Aspergillus nomiae
-160.2159881591797,-377.7616882324219,Aspergillus nomiae,Aspergillus nomiae
73.35479736328125,-257.86334228515625,Aspergillus nomiae,Aspergillus nomiae
206.6493682861328,-334.2309265136719,Aspergillus nomiae,Aspergillus nomiae
-173.43115234375,-238.26327514648438,Aspergillus nomiae,Aspergillus nomiae
-6.471652984619141,-200.3631134033203,Aspergillus nomiae,Aspergillus nomiae
-75.95794677734375,-274.2718811035156,Aspergillus nomiae,Aspergillus nomiae
-6.471652984619141,-200.3631134033203,Aspergillus nomiae,Aspergillus nomiae
-6.471652984619141,-200.3631134033203,Aspergillus nomiae,Aspergillus nomiae
7.2155561447143555,-304.1994323730469,Aspergillus nomiae,Aspergillus nomiae
76.33525085449219,353.705810546875,Aspergillus fumigatus,Aspergillus_fumigatus_test
